PROD TYPE,NAME,SHIPPED_DATE,Total Orders,Total Pallets,Distance,Cost
AMBCONTROL,PHOENIX HEALTHCARE (E/KILBRIDE,03-01-2024,1,1,440.3,98.2
AMBIENT,SUPERDRUG STORES PLC WEBSITE,04-01-2024,1,23,74.3,392.9
AMBIENT,BOOTS COMPANY PLC (SSC),04-01-2024,3,4,29.8,102.1
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),04-01-2024,2,49,107.4,1056.2
AMBCONTROL,OCADO BICESTER,04-01-2024,1,1,171.8,51.2
AMBIENT,ASDA,04-01-2024,1,7,93.7,131.6
AMBCONTROL,BOOTS COMPANY PLC (SSC),04-01-2024,6,23,29.8,440.4
AMBCONTROL,DAY LEWIS MEDICAL LIMITED,04-01-2024,1,4,268.6,212.7
AMBCONTROL,PHOENIX HEALTHCARE (PORTSMOUTH,04-01-2024,1,1,318.6,77.6
AMBCONTROL,PHOENIX HEALTHCARE (NORWICH),04-01-2024,1,1,240.7,57.6
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,04-01-2024,1,8,73.6,179.9
AMBCONTROL,JULIE WAKEFIELD,04-01-2024,1,1,69.2,32.1
AMBCONTROL,INSPIRA TRADING LIMITED,04-01-2024,1,2,182.1,91.2
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,04-01-2024,1,3,133.2,100.6
AMBIENT,SAVERS,04-01-2024,1,4,203.7,142
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUTIO,04-01-2024,1,1,91.3,36.9
AMBCONTROL,PHOENIX HEALTHCARE DIST LTD,04-01-2024,1,1,119.6,47.6
AMBCONTROL,SAVERS,04-01-2024,1,11,203.7,426.7
AMBCONTROL,CATHERINE LIDSTONE-GREEN,04-01-2024,1,1,105.3,42.2
AMBCONTROL,SAVERS,05-01-2024,1,7,203.7,277.5
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,05-01-2024,1,6,58.3,151.9
AMBIENT,SUPERDRUG STORES PLC (DUNSTABL,05-01-2024,1,5,185.1,167.3
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,05-01-2024,1,10,185.1,367.1
AMBCONTROL,WAITROSE LTD (134244),05-01-2024,1,2,168.3,79.1
AMBCONTROL,ALLIANCE HEALTHCARE (DISTN) LT,05-01-2024,1,2,1.6,45.9
AMBIENT,SUPERDRUG STORES PLC WEBSITE,05-01-2024,1,19,74.3,357.7
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,05-01-2024,2,23,222.9,970.2
AMBIENT,BOOTS COMPANY PLC (SSC),05-01-2024,8,10,29.8,263.5
AMBCONTROL,BOOTS COMPANY PLC (SSC),05-01-2024,13,20,29.8,511.8
AMBCONTROL,DAY LEWIS MEDICAL LIMITED,05-01-2024,2,15,268.6,770
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,05-01-2024,1,12,239.5,573.7
AMBCONTROL,BARCLAY PHARMACEUTICALS LTD,05-01-2024,1,1,78.9,36.6
AMBCONTROL,B & M RETAIL LTD,07-01-2024,2,4,130.9,172.8
AMBIENT,BOOTS COMPANY PLC (SSC),07-01-2024,1,2,29.8,42.7
AMBCONTROL,ALLIANCE HEALTHCARE (PRESTON),07-01-2024,1,1,142.1,51.4
AMBCONTROL,INSPIRA TRADING LIMITED,07-01-2024,1,2,182.1,91.2
AMBCONTROL,ALLOGA UK LTD - AP 3,08-01-2024,5,45,1.6,742.3
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,08-01-2024,1,6,185.1,226.6
AMBIENT,COSTCO WHOLESALE UK LTD,08-01-2024,1,7,234.4,261.2
AMBCONTROL,ALLOGA UK,08-01-2024,1,18,12.2,283.5
AMBCONTROL,SUPERDRUG STORES PLC (DUNSTABL,08-01-2024,1,13,185.1,472.4
AMBCONTROL,COSTCO WHOLESALE UK LTD,08-01-2024,1,1,234.4,56.8
AMBCONTROL,B & M RETAIL LTD,08-01-2024,1,1,160.1,47.6
AMBCONTROL,GR & MM BLACKLEDGE PLC,08-01-2024,2,2,134.5,102.8
AMBCONTROL,ALLIANCE HEALTHCARE (HINCKLEY),08-01-2024,1,3,82.5,71.7
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),08-01-2024,1,21,107.4,517.2
AMBCONTROL,OCADO LUTON,08-01-2024,1,1,187.9,51.2
AMBCONTROL,OCADO CFC2,08-01-2024,1,1,77.4,40.1
AMBCONTROL,ASDA,08-01-2024,2,15,93.7,310.3
AMBIENT,ASDA,08-01-2024,1,5,93.7,98.7
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,08-01-2024,1,3,58.3,84
AMBCONTROL,ALLIANCE HEALTHCARE (COATBRIDG,08-01-2024,1,1,444.3,93.1
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,08-01-2024,1,13,73.6,282.3
AMBCONTROL,JULIE WAKEFIELD,08-01-2024,1,1,69.2,32.1
AMBCONTROL,ALLOGA UK LTD - AP 3,09-01-2024,1,20,1.6,310.2
AMBCONTROL,AAH PHARMA (LEEDS),09-01-2024,2,4,96,126.7
AMBCONTROL,ALLOGA UK,09-01-2024,1,18,12.2,283.5
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,09-01-2024,2,3,124.8,105.7
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,09-01-2024,1,7,58.3,174.5
AMBIENT,RAYBURN TRADING LTD,09-01-2024,1,3,95.9,85
AMBCONTROL,AMAZON FRESH MILTON KEYNES ALT,09-01-2024,1,1,159,47.6
AMBCONTROL,B & M RETAIL LTD,09-01-2024,1,2,130.9,86.4
AMBCONTROL,T J MORRIS LTD (AXIS BUS. PARK,09-01-2024,1,9,141.3,332.7
AMBCONTROL,T J MORRIS LTD (SOLSTICE BUS.,09-01-2024,1,7,275.3,398.5
AMBCONTROL,ALLIANCE HEALTHCARE (NOTTINGHA,09-01-2024,1,1,29.8,31.4
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,09-01-2024,1,9,74.3,202.6
AMBCONTROL,PHOENIX HEALTHCARE (ST ALBANS),09-01-2024,1,1,215.2,52.6
AMBIENT,AMAZON DEESIDE XLP1,09-01-2024,1,6,144.3,197.4
AMBCONTROL,OCADO LTD (CFC ANDOVER),09-01-2024,1,1,267,70.6
AMBCONTROL,OCADO LTD (CFC ERITH),09-01-2024,1,1,268.2,66.1
AMBIENT,PRICECHECK TOILETRIES,09-01-2024,1,7,36.5,109.3
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),09-01-2024,2,41,107.4,984.4
AMBCONTROL,SUPERDRUG STORES PLC (DUNSTABL,09-01-2024,1,3,185.1,121.3
AMBIENT,PRECISION MARKETING GROUP LTD,09-01-2024,1,1,215.9,59.7
AMBCONTROL,PRECISION MARKETING GROUP LTD,09-01-2024,1,1,215.9,66.5
AMBCONTROL,BOOTS COMPANY PLC (SSC),09-01-2024,5,58,29.8,805.4
AMBIENT,BOOTS COMPANY PLC (SSC),09-01-2024,2,3,29.8,72.4
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,09-01-2024,1,8,133.2,241.7
AMBCONTROL,PHOENIX HEALTHCARE (BIRMINGHAM,09-01-2024,1,4,90.8,111.9
AMBCONTROL,ALLIANCE HEALTHCARE (DISTRIBUT,09-01-2024,1,1,262.2,63.4
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,09-01-2024,1,9,222.9,383.1
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,09-01-2024,1,9,239.5,434.2
AMBIENT,SAINSBURYS SUPERMARKET LTD,09-01-2024,1,2,73.6,52.9
AMBIENT,SAINSBURY'S SUPERMARKETS LTD (,09-01-2024,1,1,222.9,51.4
AMBCONTROL,ALLIANCE HEALTHCARE (SWANSEA),09-01-2024,1,2,303.4,152.1
AMBCONTROL,ALLIANCE HEALTHCARE (NEWCASTLE,09-01-2024,1,1,268.8,64
AMBCONTROL,AAH PHARMA (GLASGOW),09-01-2024,1,1,451.8,98.2
AMBCONTROL,ALLIANCE HEALTHCARE (EXETER-CO,09-01-2024,1,1,384.3,86.6
AMBCONTROL,ALLOGA UK,10-01-2024,3,19,12.2,331.4
AMBCONTROL,ALLOGA UK LTD - AP 3,10-01-2024,2,12,1.6,208.9
AMBIENT,B & M RETAIL LTD,10-01-2024,1,8,160.1,233.6
AMBCONTROL,B & M RETAIL LTD,10-01-2024,1,2,160.1,79.1
AMBCONTROL,SIGMA PHARMACEUTICALS PLC,10-01-2024,1,7,219.2,277.9
AMBCONTROL,AAH PHARMA (BRISTOL),10-01-2024,2,2,254.4,126.9
AMBIENT,PALETINE BEDS,10-01-2024,1,33,268.8,976
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUTIO,10-01-2024,2,4,91.3,115.2
AMBIENT,SUPERDRUG STORES PLC WEBSITE,10-01-2024,1,16,74.3,303.9
AMBCONTROL,PRIMA BRANDS LTD,10-01-2024,2,6,533.4,934.2
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),10-01-2024,1,27,107.4,628.1
AMBIENT,BOOTS COMPANY PLC (SSC),10-01-2024,6,6,29.8,178.2
AMBCONTROL,BOOTS COMPANY PLC (SSC),10-01-2024,3,55,29.8,520.3
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,10-01-2024,1,10,133.2,298
AMBCONTROL,PURFLEET CFC OCADO,10-01-2024,1,1,266.3,63
AMBCONTROL,PHOENIX HEALTHCARE (PORTSMOUTH,10-01-2024,1,1,318.6,77.6
AMBCONTROL,ALLIANCE HEALTHCARE (LETCHWORT,10-01-2024,1,2,188,91.2
AMBCONTROL,BESTWAY PHARMACY NDC LTD,10-01-2024,1,1,69.1,36.6
AMBCONTROL,ASDA,10-01-2024,2,7,93.7,162
AMBIENT,ASDA,10-01-2024,1,9,93.7,164.4
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,10-01-2024,1,18,239.5,852.6
AMBIENT,SAINSBURY'S SUPERMARKETS LTD (,10-01-2024,1,3,222.9,121.3
AMBCONTROL,AAH PHARMA (RUISLIP),10-01-2024,1,1,232.1,55.7
AMBCONTROL,AAH PHARMA (SWANSEA VALE),10-01-2024,1,2,297.2,152.1
AMBCONTROL,ALLIANCE HEALTHCARE (CROYDON),10-01-2024,1,1,267.8,65.2
AMBCONTROL,ALIX UNDERWOOD,10-01-2024,1,1,77.4,40.9
AMBCONTROL,POUNDLAND DC,11-01-2024,1,1,123.3,49.3
AMBCONTROL,BESTWAY PHARMACY NDC LTD,11-01-2024,1,1,69.1,36.6
AMBIENT,ALLOGA UK,11-01-2024,1,10,12.2,146.6
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,11-01-2024,1,1,124.8,40.7
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,11-01-2024,2,17,58.3,417
AMBCONTROL,AMAZON FRESH MILTON KEYNES ALT,11-01-2024,1,1,159,47.6
AMBCONTROL,PRIMA BRANDS LTD,11-01-2024,1,1,533.4,155.7
AMBCONTROL,SAVERS,11-01-2024,1,1,203.7,53.7
AMBIENT,SAVERS HEALTH & BEAUTY - DUNST,11-01-2024,1,3,185.1,106.9
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),11-01-2024,1,24,107.4,527.9
AMBIENT,BOOTS COMPANY PLC (SSC),11-01-2024,3,3,29.8,89.1
AMBCONTROL,BOOTS COMPANY PLC (SSC),11-01-2024,7,11,29.8,279.1
AMBCONTROL,PHOENIX HEALTHCARE (NORWICH),11-01-2024,1,1,240.7,57.6
AMBCONTROL,AAH PHARMA (WARRINGTON),11-01-2024,1,1,113.6,47.6
AMBCONTROL,UNIVERSAL PROCUREMENT SERVICES,11-01-2024,1,4,315.5,262.3
AMBIENT,BAZAARVOICE C/O ARK-H HANDLING,11-01-2024,1,6,172.2,179.2
AMBCONTROL,TESCO (BOLTON 510),12-01-2024,1,3,117.8,106.8
AMBCONTROL,ALLOGA UK,12-01-2024,1,11,12.2,179.7
AMBIENT,BOOTS COMPANY PLC (SSC),12-01-2024,11,19,29.8,430.5
AMBIENT,PHOENIX HEALTHCARE DIST LTD,12-01-2024,1,1,119.6,43.5
AMBCONTROL,UNITED DRUG DISTRIBUTORS IRELA,12-01-2024,1,6,414,934.2
AMBCONTROL,BOOTS COMPANY PLC (SSC),12-01-2024,12,33,29.8,687.9
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,12-01-2024,1,20,185.1,718.1
AMBCONTROL,CO-OP GRP LTD - NDC COVENTRY,12-01-2024,1,7,97.7,187.4
AMBCONTROL,ALLIANCE HEALTHCARE (DISTN) LT,12-01-2024,1,1,1.6,31.2
AMBCONTROL,AAH PHARMA (PERRY BARR),12-01-2024,1,2,97.6,64
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),12-01-2024,1,23,107.4,528.1
AMBCONTROL,INSPIRA TRADING LIMITED,12-01-2024,1,1,182.1,53.6
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUTIO,12-01-2024,1,4,91.3,99
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,12-01-2024,1,8,133.2,241.7
AMBCONTROL,WAITROSE LTD (134244),12-01-2024,1,2,168.3,79.1
AMBCONTROL,PHOENIX HEALTHCARE DIST LTD,12-01-2024,1,1,119.6,47.6
AMBCONTROL,ALLIANCE HEALTHCARE (LEEDS),12-01-2024,1,1,99.1,39.8
AMBCONTROL,ALLIANCE HEALTHCARE (HINCKLEY),12-01-2024,1,1,82.5,34.7
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,12-01-2024,1,13,222.9,546.4
AMBIENT,BOOTS COMPANY PLC (SSC),14-01-2024,1,1,29.8,29.7
AMBCONTROL,SIGMA PHARMACEUTICALS PLC,14-01-2024,1,1,219.2,53.5
AMBCONTROL,PHOENIX HEALTHCARE (E/KILBRIDE,14-01-2024,1,1,440.3,98.2
AMBCONTROL,B & M RETAIL LTD,14-01-2024,1,1,160.1,47.6
AMBCONTROL,SCOTTISH MIDLAND CO-OPERATIVE,14-01-2024,1,1,429.4,93.2
AMBCONTROL,ALLIANCE HEALTHCARE (NOTTINGHA,14-01-2024,1,11,29.8,179.7
AMBIENT,B & M RETAIL LTD,14-01-2024,1,1,130.9,47.5
AMBCONTROL,ALLIANCE HEALTHCARE (PRESTON),14-01-2024,1,3,142.1,122.1
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,14-01-2024,1,8,239.5,387.7
AMBCONTROL,DAY LEWIS MEDICAL LIMITED,14-01-2024,2,10,268.6,523.8
AMBCONTROL,BESTWAY PHARMACY NDC LTD,14-01-2024,1,1,69.1,36.6
AMBCONTROL,BARCLAY PHARMACEUTICALS LTD,14-01-2024,1,3,78.9,77.6
AMBIENT,PRECISION MARKETING GROUP LTD,14-01-2024,1,1,215.9,59.7
AMBCONTROL,ALLOGA UK,15-01-2024,2,7,12.2,136.9
AMBIENT,SUPERDRUG STORES PLC (DUNSTABL,15-01-2024,1,5,185.1,167.3
AMBCONTROL,COSTCO WHOLESALE UK LTD,15-01-2024,1,1,234.4,56.8
AMBCONTROL,GR & MM BLACKLEDGE PLC,15-01-2024,2,2,134.5,102.8
AMBCONTROL,AAH PHARMA (LEEDS),15-01-2024,1,1,96,39.8
AMBCONTROL,OCADO CFC2,15-01-2024,1,1,77.4,40.1
AMBCONTROL,OCADO LUTON,15-01-2024,1,1,187.9,51.2
AMBCONTROL,AAH PHARMA (ROMFORD PPP0997Q),15-01-2024,1,4,252.9,203.9
AMBCONTROL,PRIMA BRANDS LTD,15-01-2024,1,10,533.4,1557
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),15-01-2024,2,43,107.4,1045.5
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,15-01-2024,1,1,208.6,52.7
AMBCONTROL,PHOENIX HEALTHCARE (ST ALBANS),15-01-2024,1,1,215.2,52.6
AMBCONTROL,ASDA,15-01-2024,3,10,93.7,233.7
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,15-01-2024,2,14,73.6,318.9
AMBCONTROL,ALLIANCE HEALTHCARE (COATBRIDG,15-01-2024,1,3,444.3,247.4
AMBIENT,SAINSBURY'S SUPERMARKETS LTD (,15-01-2024,1,1,222.9,51.4
AMBIENT,CHANELLE MCCOY HEALTH,15-01-2024,1,2,235.1,96
AMBCONTROL,ALLOGA UK,16-01-2024,2,20,12.2,329.8
AMBCONTROL,ALLOGA UK LTD - AP 3,16-01-2024,2,11,1.6,194.2
AMBCONTROL,OCADO LTD (CFC ERITH),16-01-2024,1,1,268.2,66.1
AMBCONTROL,OCADO LTD (CFC ANDOVER),16-01-2024,1,1,267,70.6
AMBIENT,SUPERDRUG STORES PLC WEBSITE,16-01-2024,1,21,74.3,384.8
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,16-01-2024,1,7,58.3,174.5
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUTIO,16-01-2024,1,1,91.3,36.9
AMBIENT,BOOTS COMPANY PLC (SSC),16-01-2024,7,9,29.8,233.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),16-01-2024,4,6,29.8,155.2
AMBIENT,SAINSBURYS SUPERMARKET LTD,16-01-2024,1,2,73.6,52.9
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,16-01-2024,2,45,133.2,1213.2
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,16-01-2024,1,7,74.3,161.2
AMBCONTROL,T J MORRIS LTD (SOLSTICE BUS.,16-01-2024,1,3,275.3,179.9
AMBCONTROL,ALLIANCE HEALTHCARE (DISTRIBUT,16-01-2024,1,3,262.2,158.2
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,16-01-2024,1,7,239.5,341.2
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,16-01-2024,1,1,208.6,52.7
AMBCONTROL,ALLIANCE HEALTHCARE (LETCHWORT,16-01-2024,1,3,188,128.8
AMBCONTROL,AAH PHARMA (GLASGOW),16-01-2024,1,1,451.8,98.2
AMBCONTROL,ALLIANCE HEALTHCARE (SWANSEA),16-01-2024,1,2,303.4,152.1
AMBCONTROL,ALLIANCE HEALTHCARE (NEWCASTLE,16-01-2024,1,1,268.8,64
AMBCONTROL,ALLIANCE HEALTHCARE (EXETER-CO,16-01-2024,1,2,384.3,157.3
AMBCONTROL,INSPIRA TRADING LIMITED,16-01-2024,1,3,182.1,128.8
AMBIENT,ALLOGA UK,17-01-2024,1,11,12.2,159.6
AMBIENT,ALLOGA UK LTD - AP 3,17-01-2024,1,1,1.6,29.5
AMBCONTROL,SUPERDRUG STORES PLC (DUNSTABL,17-01-2024,1,6,185.1,226.6
AMBCONTROL,SIGMA PHARMACEUTICALS PLC,17-01-2024,2,5,219.2,219.1
AMBIENT,BOOTS COMPANY PLC (SSC),17-01-2024,5,5,29.8,148.5
AMBCONTROL,T J MORRIS LTD (AXIS BUS. PARK,17-01-2024,1,13,141.3,473.5
AMBCONTROL,ALLOGA UK,17-01-2024,1,12,12.2,194.6
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),17-01-2024,1,24,107.4,527.9
AMBCONTROL,UNIVERSAL PROCUREMENT SERVICES,17-01-2024,1,1,315.5,77.6
AMBCONTROL,BOOTS COMPANY PLC (SSC),17-01-2024,4,8,29.8,184.9
AMBCONTROL,PURFLEET CFC OCADO,17-01-2024,1,1,266.3,63
AMBCONTROL,AAH PHARMA (BRISTOL),17-01-2024,1,1,254.4,63.5
AMBCONTROL,PHOENIX HEALTHCARE (PORTSMOUTH,17-01-2024,1,1,318.6,77.6
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,17-01-2024,1,19,239.5,899
AMBCONTROL,PHOENIX HEALTHCARE (E/KILBRIDE,17-01-2024,1,3,440.3,262.8
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,17-01-2024,1,9,73.6,200.4
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,17-01-2024,1,4,222.9,179.1
AMBCONTROL,ALLIANCE HEALTHCARE (CROYDON),17-01-2024,1,3,267.8,163.5
AMBCONTROL,PRECISION MARKETING GROUP LTD,17-01-2024,1,1,215.9,66.5
AMBIENT,SAVERS,18-01-2024,1,3,203.7,110.6
AMBCONTROL,SAVERS,18-01-2024,1,11,203.7,426.7
AMBCONTROL,ALLOGA UK,18-01-2024,1,18,12.2,283.5
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,18-01-2024,2,2,124.8,81.4
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,18-01-2024,2,15,58.3,371.7
AMBIENT,ASDA,18-01-2024,1,9,93.7,164.4
AMBCONTROL,ASDA,18-01-2024,2,7,93.7,162
AMBIENT,SUPERDRUG STORES PLC WEBSITE,18-01-2024,1,13,74.3,249.8
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),18-01-2024,1,28,107.4,628.1
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,18-01-2024,1,1,208.6,52.7
AMBCONTROL,BOOTS COMPANY PLC (SSC),18-01-2024,10,19,29.8,447.2
AMBIENT,BOOTS COMPANY PLC (SSC),18-01-2024,9,11,29.8,293.2
AMBCONTROL,PHOENIX HEALTHCARE (NORWICH),18-01-2024,1,1,240.7,57.6
AMBIENT,SHARRON WILSON (BRAIN TUMOUR C,18-01-2024,1,1,466.3,96.9
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,18-01-2024,1,10,133.2,298
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,18-01-2024,1,13,222.9,546.4
AMBCONTROL,AAH PHARMA (WARRINGTON),18-01-2024,1,5,113.6,173.7
AMBCONTROL,TESCO (BOLTON 510),19-01-2024,1,1,117.8,46.4
AMBIENT,BOOTS COMPANY PLC (SSC),19-01-2024,8,14,29.8,315.5
AMBCONTROL,PHOENIX HEALTHCARE (BIRMINGHAM,19-01-2024,1,4,90.8,111.9
AMBCONTROL,CO-OP GRP LTD - NDC COVENTRY,19-01-2024,1,10,97.7,260.6
AMBCONTROL,PHOENIX HEALTHCARE DIST LTD,19-01-2024,1,1,119.6,47.6
AMBCONTROL,WAITROSE LTD (134244),19-01-2024,1,2,168.3,79.1
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),19-01-2024,1,23,107.4,528.1
AMBCONTROL,BOOTS COMPANY PLC (SSC),19-01-2024,8,9,29.8,266.1
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,19-01-2024,1,13,133.2,382.6
AMBCONTROL,ALLIANCE HEALTHCARE (DISTN) LT,19-01-2024,1,1,1.6,31.2
AMBCONTROL,ALLIANCE HEALTHCARE (LEEDS),19-01-2024,1,1,99.1,39.8
AMBCONTROL,OCADO BICESTER,19-01-2024,1,1,171.8,51.2
AMBIENT,ROMA,19-01-2024,1,1,238.9,51.6
AMBCONTROL,ALLIANCE HEALTHCARE (HINCKLEY),19-01-2024,1,1,82.5,34.7
AMBIENT,NATALIE ELLIS,19-01-2024,1,1,134.6,37.1
AMBCONTROL,ALLIANCE HEALTHCARE (PRESTON),21-01-2024,1,1,142.1,51.4
AMBCONTROL,OCADO LUTON,21-01-2024,1,4,187.9,156.4
AMBCONTROL,PHOENIX HEALTHCARE (ST ALBANS),21-01-2024,1,1,215.2,52.6
AMBCONTROL,PHOENIX HEALTHCARE (E/KILBRIDE,21-01-2024,1,2,440.3,180.5
